,DRAFTSHEET  -  10 Team  -  0.5 PPR  -  1QB(12)/2RB(48)/3WR(65)/1TE(24)/0[RB/WR/TE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLAYER SEARCH
,"Passing: 6 PPTD, 0.02 PPY, -2 Int  |  Rushing: 6 PPTD, 0.1 PPY  |  Receiving: 6 PPTD, 0.1 PPY, 0.5 PPR  |  Draft: use 'x' if drafted by someone else, 'o' if drafted by you  |  Updated: 2026-08-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE NAME HERE:
,QUARTERBACK,,,,,,,,,,RUNNING BACK,,,,,,,,,,WIDE RECEIVER,,,,,,,,,,Position:
,TIER,NAME,TM/BYE,PTS,VALUE,PS,ECR,DRAFT,,,TIER,NAME,TM/BYE,PTS,VALUE,PS,ECR,DRAFT,,,TIER,NAME,TM/BYE,PTS,VALUE,PS,ECR,DRAFT,,,Tier:
,13,J.J. McCarthy,MIN/6,15,1,0%,333,,-207,,6,Jacory Croskey-Merritt,WAS/7,106,8,5%,99,,28,,4,Brian Thomas Jr.,JAC/7,113,9,15%,76,,31,,
,13,Carson Beck,ARI/14,15,1,0%,329,,-207,,6,Rachaad White,WAS/7,106,8,4%,114,,27,,5,Michael Pittman Jr.,PIT/9,108,8,14%,88,,26,,
,13,Ty Simpson,LAR/11,14,1,0%,361,,-207,,6,Kenny Gainwell,TB/10,106,8,3%,109,,27,,5,KC Concepcion,CLE/11,107,8,13%,121,,26,,
,13,Justin Fields,KC/5,9,1,0%,357,,-213,,6,Aaron Jones Sr.,MIN/6,103,8,3%,117,,25,,5,Michael Wilson,ARI/14,106,7,12%,89,,25,,
,13,Mac Jones,SF/8,8,1,0%,346,,-213,,6,Jordan Mason,MIN/6,103,7,2%,107,,24,,5,Makai Lemon,PHI/10,105,7,11%,116,,24,,
,,,,,,,,,,,6,Blake Corum,LAR/11,102,7,1%,94,,23,,5,Jayden Reed,GB/11,105,7,10%,108,,24,,
,TIGHT END,,,,,,,,,,7,Mike Washington Jr.,LV/13,91,4,1%,167,,13,,5,Chris Godwin Jr.,TB/10,105,7,10%,83,,24,,
,TIER,NAME,TM/BYE,PTS,VALUE,PS,ECR,DRAFT,,,7,Woody Marks,HOU/8,86,3,1%,130,,8,,5,Quentin Johnston,LAC/7,105,7,9%,90,,23,,
,1,Brock Bowers,LV/13,164,23,88%,18,,82,,7,Tyjae Spears,TEN/9,85,3,0%,136,,7,,5,Jakobi Meyers,JAC/7,105,7,8%,113,,23,,
,1,Trey McBride,ARI/14,162,22,75%,25,,81,,7,Jonah Coleman,DEN/10,84,3,0%,143,,6,,5,Jordan Addison,MIN/6,104,7,7%,106,,22,,
